story,url,title,descr
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7153939.shtml,"Президент «Атлетико»: «Роналду выигрывал ЛЧ не 5 раз, а 3. Оба финала против нас выиграл не он»",Заявление как минимум спорное: Криш забивал с пенальти в обоих финалах с «индейцами».
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7153090.shtml,"Роналду красиво изобразил массовку, а Симеоне одним жестом показал весь жар двух мячей «Атлетико»",«Бьянконери» лишились преимущества в виде гостевого гола.
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7153809.shtml,«Это позор». Президент «Атлетико» пришел в ярость и покинул ложу после отмененного гола Мораты,Энрике Сересо не успокоился даже после двух мячей в ворота «Юве».
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7153644.shtml,«Это был тяжелый вечер. Давайте верить». Криштиану Роналду не сдается после поражения от «Атлетико»,Криштиану говорит.
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7153445.shtml,«Не вижу разницы». Рахим Стерлинг пошутил над сходством Александра Зинченко и Кевина де Брёйне,"Может, они братья?"
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7153417.shtml,"«Чем ближе конец матча, тем больше тянешь время». Нико Ковач признал симуляцию Хави Мартинеса",Собственного игрока подставил.
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7153320.shtml,Симеоне гениально нейтрализовал «Юве». Диего подавил потенциал Роналду в штрафной,Какой же он все-таки крутой!
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7153276.shtml,"Твое лицо расплывется в улыбке, когда ты увидишь мальчугана, прильнувшего к руке Криштиану Роналду",Милота дня.
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7153262.shtml,"Диего Симеоне: «Чтобы выпустить Коке и Косту в старте после месяца отсутствия, нужны яйца»","Вот, что показывал коуч."
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7153253.shtml,Кипер «Манчестер Сити» Эдерсон с «Шальке» оформил второй ассист в сезоне – столько же у Месут Озила,Гениальный плеймейкер.
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7153239.shtml,"Криштиану Роналду журналистам в микст-зоне: «У меня 5 побед в Лиге чемпионов, а у вас – 0»",Португалец быстро забыл о команде.
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7153177.shtml,"Победа «Ман Сити» – чистая удача. Гвардиола играет в Лиге чемпионов, будто это очередной тур АПЛ",В камбеке «горожан» нет ничего крутого.
https://www.eurosport.ru/football/champions-league/,https://video.eurosport.ru/football/champions-league/2018-2019/video_vid1165724.shtml,Роналду уже проигрывал «Атлетико» и проходил дальше. 5 фактов о провале «Юве» в Мадриде,"Для туринцев еще не все потеряно, но надо что-то менять."
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7153150.shtml,Роналду показал фанатам пять. «Атлетико» наказал его за выпендреж,"Криштиану свистели весь матч, и это помогло."
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7153063.shtml,"Дом Садио Мане ограбили во время матча ЛЧ с «Баварией»: вынесли часы, телефоны, ключи от машины",Больше всех ему посочувствует Боатенг.
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7153054.shtml,В матче с «Шальке» все сделал «Сити»: нафолил на 2 пенальти и состряпал 3 турбомяча,На «Фельтинс-Арене» завершился матч 1/8 Лиги чемпионов.
